1,1,1,0
2,2,2,0
3,3,3,0
4,4,4,0
5,5,5,0
6,6,6,0
7,7,7,0
8,8,8,0
9,9,9,0
10,10,10,0
11,11,10,0
12,12,10,0
13,13,10,0
14,1,1,0
15,2,2,0
16,3,3,0
17,4,4,0
18,5,5,0
19,6,6,0
20,7,7,0
21,8,8,0
22,9,9,0
23,10,10,0
24,11,10,0
25,12,10,0
26,13,10,0
27,1,1,0
28,2,2,0
29,3,3,0
30,4,4,0
31,5,5,0
32,6,6,0
33,7,7,0
34,8,8,0
35,9,9,0
36,10,10,0
37,11,10,0
38,12,10,0
39,13,10,0
40,1,1,0
41,2,2,0
42,3,3,0
43,4,4,0
44,5,5,0
45,6,6,0
46,7,7,0
47,8,8,0
48,9,9,0
49,10,10,0
50,11,10,0
51,12,10,0
52,13,10,0
